codec,rate_label,sample_rate,seed,theta_cents,f1_nominal,f2_nominal,reference_label,rep,f1_hat_coded,f2_hat_coded,f1_hat_uncoded,f2_hat_uncoded,f1_crosscheck_coded,f2_crosscheck_coded,disagreement_f1_cents,disagreement_f2_cents,octave_flag,interval_coded_cents,interval_uncoded_cents,residual_coded_cents,residual_uncoded_cents,abs_residual_f2_coded_cents,abs_residual_f2_uncoded_cents
encodec_swap_encodec_ftm_flat_s0|encodec_24khz,3.0kbps,24000,20260826,1155.0,445.1126,867.3837049634179,445.1Hz_+20.0c,1,443.2919421409127,875.3321438205772,445.11259765382516,867.3837078846296,443.2919421409127,875.3321438205772,0.0,0.0,0,1177.8880937607018,1155.000014955805,22.88809376070185,1.4955804999772226e-05,15.792251404013172,5.830523510413871e-06
encodec_swap_encodec_ftm_flat_s0|encodec_24khz,3.0kbps,24000,20260826,1155.0,445.1126,867.3837049634179,445.1Hz_+20.0c,2,443.5066873326689,876.4625374630104,445.11259765717847,867.3837078861375,443.5066873326689,876.4625374630104,0.0,0.0,0,1179.2838831088504,1155.0000149457721,24.283883108850432,1.4945772136343294e-05,18.026504373444734,5.833533065535536e-06
encodec_swap_encodec_ftm_flat_s0|encodec_24khz,3.0kbps,24000,20260826,1155.0,445.1126,867.3837049634179,445.1Hz_+20.0c,3,443.1679512499813,878.2474968668525,445.11259766241864,867.3837078851685,443.1679512499813,878.2474968668525,0.0,0.0,0,1184.1288076136448,1155.000014923457,29.128807613644767,1.4923457001714269e-05,21.548663022518138,5.831599092893167e-06
encodec_swap_encodec_ftm_flat_s0|encodec_24khz,3.0kbps,24000,20260826,1155.0,445.1126,867.3837049634179,445.1Hz_+20.0c,4,443.62833071455395,877.3102016917313,445.1125976636064,867.3837078843657,443.62833071455395,877.5642894120134,0.0,-0.501329659877135,0,1180.4826527089592,1155.0000149172347,25.482652708959222,1.491723469371209e-05,19.700045370463386,5.829996867098416e-06
encodec_swap_encodec_ftm_flat_s0|encodec_24khz,3.0kbps,24000,20260826,1155.0,447.6911,872.4083860963451,447.7Hz_+30.0c,0,445.3020340776135,878.5222811222988,447.69109920819005,872.4083857089934,445.3020340776135,879.2029370255256,0.0,-1.340795161949515,0,1176.3536094835345,1155.0000022932786,21.353609483534456,2.2932786123419646e-06,12.090285992321927,-7.686726329314383e-07
encodec_swap_encodec_ftm_flat_s0|encodec_24khz,3.0kbps,24000,20260826,1155.0,447.6911,872.4083860963451,447.7Hz_+30.0c,1,445.17801366345014,878.2361022910717,447.69109919445617,872.4083857080768,445.17801366345014,878.2361022910717,0.0,0.0,0,1176.2717983311638,1155.0000023445689,21.271798331163836,2.3445688839274226e-06,11.526244237003878,-7.704914744325829e-07
encodec_swap_encodec_ftm_flat_s0|encodec_24khz,3.0kbps,24000,20260826,1155.0,447.6911,872.4083860963451,447.7Hz_+30.0c,2,445.43191192886655,877.6611952183104,447.69109918899215,872.4083857088406,445.43191192886655,877.6611952183104,0.0,0.0,0,1174.1510415533246,1155.0000023672142,19.151041553324603,2.3672141651331913e-06,10.392580284800308,-7.689759333529542e-07
encodec_swap_encodec_ftm_flat_s0|encodec_24khz,3.0kbps,24000,20260826,1155.0,447.6911,872.4083860963451,447.7Hz_+30.0c,3,444.9378502365713,878.7286768293646,447.6910992058693,872.4083857071527,444.9378502365713,878.9957758674838,0.0,-0.5261472605840535,0,1178.1767333991347,1155.0000022986,23.17673339913472,2.298600065842038e-06,12.49696584152604,-7.723255001753642e-07
encodec_swap_encodec_ftm_flat_s0|encodec_24khz,3.0kbps,24000,20260826,1155.0,447.6911,872.4083860963451,447.7Hz_+30.0c,4,443.5846103163239,878.8876835751192,447.69109920519037,872.4083857069502,443.5846103163239,879.4234266983128,0.0,-1.0549859575008314,0,1183.7633951782577,1155.0000023008238,28.763395178257724,2.300823780387873e-06,12.810205862766336,-7.727272098591219e-07
encodec_swap_encodec_ftm_flat_s0|encodec_24khz,3.0kbps,24000,20260826,1155.0,450.2845,877.4621026176301,450.3Hz_+40.0c,0,447.3079773271607,881.0196486185455,450.28450209744165,877.4621045915779,447.3079773271607,881.0196486185455,0.0,0.0,0,1173.4868483633106,1154.9999958304504,18.486848363310628,-4.169549583821208e-06,7.004853096863622,3.89460228669446e-06
