lang,group,file,gender,voiced_frames,f0_err_cents,lsd_db
th_th,tone,11665212129727045227.wav,FEMALE,245,20.49105607782421,9.714570797726044
th_th,tone,11669612568286266230.wav,FEMALE,36,13.594129038996744,9.540057331955717
th_th,tone,11672277998352276034.wav,FEMALE,745,21.836961876903313,9.798638632866332
th_th,tone,11676035395114687907.wav,FEMALE,450,12.608393319050565,9.971019045670822
th_th,tone,11680366317603556742.wav,FEMALE,324,19.64263682263009,9.929710197731882
th_th,tone,11682413268089367174.wav,FEMALE,942,24.80238769714986,10.021864689001703
th_th,tone,11700143421797326666.wav,FEMALE,655,16.956122223593947,10.187060744078437
th_th,tone,1170912862609803448.wav,FEMALE,164,18.891941624948664,10.018707915952959
th_th,tone,11799723822081410551.wav,FEMALE,556,19.09770818332499,9.73641278505189
th_th,tone,11802951921145587436.wav,FEMALE,1492,23.818178065507947,9.843677490438884
th_th,tone,11809477252529094101.wav,FEMALE,91,15.938719198056354,9.837098735477472
th_th,tone,11829761174522515590.wav,FEMALE,217,19.880224983694113,9.48385618884885
th_th,tone,11876365306125349893.wav,FEMALE,460,13.913291919588044,9.925073917259235
th_th,tone,11898243221301301060.wav,FEMALE,437,22.51817002369947,9.819165835207798
th_th,tone,11919185035059680077.wav,FEMALE,867,20.884879746897223,9.8221941503946
th_th,tone,11932688945450781754.wav,FEMALE,119,12.418698917060109,9.66086533293366
th_th,tone,1193475532176080099.wav,FEMALE,407,21.691106849473595,9.744784785385573
th_th,tone,11938477791683887878.wav,FEMALE,440,8.350856022774796,9.617231796044202
th_th,tone,119461054236915472.wav,FEMALE,148,11.492349919570866,10.175475186077943
th_th,tone,11957172548473900093.wav,FEMALE,217,18.753292775792605,9.977837095553664
th_th,tone,11958818104213684464.wav,FEMALE,487,9.844298448403503,9.803330723666383
th_th,tone,11961264386618792363.wav,FEMALE,150,14.071206226723204,9.90847292949899
th_th,tone,11968568571482533750.wav,FEMALE,126,13.511581002119792,10.08291360885811
th_th,tone,11969293190717844909.wav,FEMALE,436,18.673043694453817,10.016839031961489
th_th,tone,11988826189327285738.wav,FEMALE,547,9.746951122123756,9.756100078130782
th_th,tone,11993838276782478296.wav,FEMALE,495,12.389759972823267,9.969077930579365
th_th,tone,12028883085106940452.wav,FEMALE,77,13.022066863653276,9.589782242307718
th_th,tone,1203709135448941309.wav,FEMALE,129,11.973307472858046,9.550362809450034
th_th,tone,12058394403283310728.wav,FEMALE,512,29.203893927060584,10.055488584626724
th_th,tone,12092615255712135663.wav,FEMALE,435,16.098975527975636,9.767253160445666
th_th,tone,12128572278984899002.wav,FEMALE,448,23.389802577811167,9.777032534511992
th_th,tone,12151838739262199945.wav,FEMALE,632,26.65949595522909,9.83108390084184
th_th,tone,12152608692525423014.wav,FEMALE,42,18.285609260072338,9.856300539810544
th_th,tone,12182956853441216820.wav,FEMALE,539,19.283697951774844,9.77636179585649
th_th,tone,12189116754199782428.wav,FEMALE,276,18.466765694494548,9.789508853560019
th_th,tone,12245794755174567356.wav,FEMALE,400,9.748243013323158,9.692067400164497
th_th,tone,12248301115353430345.wav,FEMALE,223,13.79766810001135,9.702212231851018
th_th,tone,12254440081469939009.wav,FEMALE,183,9.707383498587687,9.665797138297515
th_th,tone,12275748383231818312.wav,FEMALE,111,12.534427765952364,9.669454202160088
yue_hant_hk,tone,10006915745726529860.wav,MALE,499,15.800763146989766,9.780466968156016
yue_hant_hk,tone,1003282807420591297.wav,MALE,1080,14.765350946004286,9.7861859620939
yue_hant_hk,tone,10115432746173245930.wav,FEMALE,549,14.909726882808718,10.210411189822088
yue_hant_hk,tone,10123879626346052468.wav,FEMALE,420,15.107095119610848,9.957846203955178
yue_hant_hk,tone,10124045044575977258.wav,FEMALE,549,17.55999351577721,10.229237429666359
yue_hant_hk,tone,10163731863724677756.wav,FEMALE,400,15.710116129514477,9.926298462823711
yue_hant_hk,tone,10165854033091765666.wav,FEMALE,20,10.689593159827842,9.248887778392072
yue_hant_hk,tone,10194685291289583261.wav,MALE,1187,14.388731388727042,9.908316144645156
yue_hant_hk,tone,10204212130682298746.wav,FEMALE,534,13.960342624308476,9.608012190054238
yue_hant_hk,tone,1023881369744285907.wav,FEMALE,457,10.721127714152026,9.598878672469414
