cents,f0,rep,q0_mode,q0_nuniq,q1_mode,q1_nuniq,q2_mode,q2_nuniq,q3_mode,q3_nuniq
94.0,232.27547871203242,2,406,13,413,5,357,23,285,28
96.0,232.54396892350366,0,429,15,413,5,67,21,677,20
96.0,232.54396892350366,1,725,12,413,7,357,16,267,20
96.0,232.54396892350366,2,19,14,413,6,295,21,909,22
98.0,232.81276948626152,0,429,12,413,7,684,27,446,28
98.0,232.81276948626152,1,84,10,413,5,490,25,285,19
98.0,232.81276948626152,2,469,12,413,6,357,25,669,17
100.0,233.08188075904496,0,19,13,413,8,383,26,446,22
100.0,233.08188075904496,1,19,12,413,5,86,27,285,23
100.0,233.08188075904496,2,19,14,413,5,357,26,285,27
102.0,233.35130310100774,0,877,12,413,5,67,14,285,16
102.0,233.35130310100774,1,19,11,413,7,449,17,285,16
102.0,233.35130310100774,2,19,11,413,4,115,16,4,18
104.0,233.62103687171864,0,757,13,413,5,25,26,909,26
104.0,233.62103687171864,1,429,12,413,8,357,27,677,26
104.0,233.62103687171864,2,19,12,413,5,642,21,133,27
106.0,233.89108243116226,0,469,14,413,7,67,26,133,22
106.0,233.89108243116226,1,19,14,413,8,538,26,431,30
106.0,233.89108243116226,2,19,19,413,7,332,28,458,23
108.0,234.16144013973914,0,578,17,413,9,357,27,446,24
108.0,234.16144013973914,1,429,15,413,8,357,28,909,26
108.0,234.16144013973914,2,19,14,413,10,684,23,4,27
110.0,234.43211035826653,0,1018,13,413,8,357,20,592,19
110.0,234.43211035826653,1,749,13,413,5,194,19,285,21
110.0,234.43211035826653,2,19,15,413,7,917,20,285,17
112.0,234.7030934479787,0,19,10,413,5,490,26,133,18
112.0,234.7030934479787,1,1018,16,413,9,115,30,285,26
112.0,234.7030934479787,2,749,14,413,7,357,22,605,25
114.0,234.97438977052735,0,757,15,413,5,34,22,285,19
114.0,234.97438977052735,1,725,13,413,7,258,24,605,26
114.0,234.97438977052735,2,757,13,413,8,115,21,4,19
116.0,235.24599968798245,0,757,16,413,9,357,22,446,21
116.0,235.24599968798245,1,429,13,413,9,928,27,677,23
116.0,235.24599968798245,2,346,13,413,6,684,25,133,19
118.0,235.51792356283238,0,429,11,413,9,383,24,592,26
118.0,235.51792356283238,1,19,14,413,6,115,22,967,26
118.0,235.51792356283238,2,19,13,413,4,520,24,605,25
120.0,235.7901617579845,0,19,13,413,4,194,22,267,20
120.0,235.7901617579845,1,84,13,413,6,357,19,669,20
120.0,235.7901617579845,2,406,12,413,7,383,16,967,20
122.0,236.06271463676572,0,19,16,413,11,383,26,267,26
122.0,236.06271463676572,1,406,16,413,9,115,28,285,25
122.0,236.06271463676572,2,406,15,413,7,357,29,285,29
124.0,236.33558256292284,0,19,12,413,8,642,25,285,19
124.0,236.33558256292284,1,757,15,413,7,357,24,431,28
124.0,236.33558256292284,2,406,14,413,6,194,21,4,29
126.0,236.60876590062318,0,725,13,413,10,383,20,446,22
126.0,236.60876590062318,1,469,13,413,10,383,20,285,22
126.0,236.60876590062318,2,19,13,413,8,992,22,133,26
128.0,236.88226501445507,0,749,15,413,6,34,23,605,28
128.0,236.88226501445507,1,406,14,413,9,383,23,446,25
128.0,236.88226501445507,2,406,13,413,11,383,22,4,27
130.0,237.15608026942812,0,406,15,413,12,383,26,51,31
130.0,237.15608026942812,1,757,16,413,8,357,28,285,25
130.0,237.15608026942812,2,19,14,413,11,34,21,285,25
132.0,237.430212030974,0,406,10,413,6,490,15,230,18
132.0,237.430212030974,1,346,10,413,5,684,13,605,18
132.0,237.430212030974,2,84,12,413,7,357,14,446,16
134.0,237.70466066494663,0,757,16,413,11,383,24,458,25
134.0,237.70466066494663,1,757,14,413,12,383,20,909,25
134.0,237.70466066494663,2,406,12,413,7,115,21,51,24
136.0,237.97942653762306,0,19,16,413,7,383,24,669,27
136.0,237.97942653762306,1,84,13,413,5,642,24,285,18
136.0,237.97942653762306,2,406,14,413,10,383,24,796,23
138.0,238.25451001570346,0,19,13,413,6,115,23,669,20
138.0,238.25451001570346,1,429,11,413,9,383,23,446,22
138.0,238.25451001570346,2,84,15,413,7,789,22,605,23
140.0,238.52991146631206,0,84,11,413,8,684,17,967,23
140.0,238.52991146631206,1,84,13,413,6,71,22,285,20
140.0,238.52991146631206,2,19,13,413,7,357,23,267,23
142.0,238.80563125699734,0,84,13,413,9,170,22,605,31
142.0,238.80563125699734,1,757,14,413,9,115,22,431,26
142.0,238.80563125699734,2,84,12,413,8,332,28,285,20
144.0,239.08166975573275,0,757,13,413,8,357,21,51,25
144.0,239.08166975573275,1,757,14,413,7,917,21,285,29
144.0,239.08166975573275,2,84,11,413,3,34,19,267,18
146.0,239.35802733091703,0,84,12,413,5,67,27,605,23
146.0,239.35802733091703,1,19,12,413,7,789,23,967,23
146.0,239.35802733091703,2,406,15,413,9,383,23,133,27
148.0,239.6347043513747,0,84,10,413,7,642,25,285,24
148.0,239.6347043513747,1,84,14,413,6,917,19,669,20
148.0,239.6347043513747,2,19,12,413,9,650,23,285,24
150.0,239.91170118635668,0,19,10,413,5,34,13,285,12
