codec,rate_label,sample_rate,seed,theta_cents,f1_nominal,f2_nominal,reference_label,rep,f1_hat_coded,f2_hat_coded,f1_hat_uncoded,f2_hat_uncoded,f1_crosscheck_coded,f2_crosscheck_coded,disagreement_f1_cents,disagreement_f2_cents,octave_flag,interval_coded_cents,interval_uncoded_cents,residual_coded_cents,residual_uncoded_cents,abs_residual_f2_coded_cents,abs_residual_f2_uncoded_cents
encodec_swap_encodec_24khz|encodec_ftm_grid_s0,3.0kbps,24000,20260826,1170.0,447.6911,880.0000697307637,447.7Hz_+30.0c,0,446.974718168711,881.034581961108,447.69109919443633,880.0000677025007,223.7780639671147,881.034581961108,1197.7495319951236,0.0,0,1174.8064996889389,1169.9999991249126,4.806499688938857,-8.750873803364811e-07,2.0340122230365334,-3.990224576812428e-06
encodec_swap_encodec_24khz|encodec_ftm_grid_s0,3.0kbps,24000,20260826,1170.0,447.6911,880.0000697307637,447.7Hz_+30.0c,1,446.7751624713813,881.7834566675533,447.6910992157462,880.0000677028623,446.7751624713813,881.7834566675533,0.0,0.0,0,1177.050511255408,1169.9999990432184,7.050511255408082,-9.567816050548572e-07,3.504926906078161,-3.989513223921351e-06
encodec_swap_encodec_24khz|encodec_ftm_grid_s0,3.0kbps,24000,20260826,1170.0,447.6911,880.0000697307637,447.7Hz_+30.0c,2,445.50326957718187,881.7878827133517,447.6910992179673,880.0000677010695,445.50326957718187,881.7878827133517,0.0,0.0,0,1181.9947585841048,1169.999999031102,11.99475858410483,-9.688978934718762e-07,3.5136166834833302,-3.993040196510183e-06
encodec_swap_encodec_24khz|encodec_ftm_grid_s0,3.0kbps,24000,20260826,1170.0,447.6911,880.0000697307637,447.7Hz_+30.0c,3,446.445726154075,881.1220832435915,447.69109918970446,880.0000677031602,446.445726154075,881.1220832435915,0.0,0.0,0,1177.028550236479,1169.9999991445084,7.028550236479077,-8.554916348657571e-07,2.2059438142375796,-3.988927189075393e-06
encodec_swap_encodec_24khz|encodec_ftm_grid_s0,3.0kbps,24000,20260826,1170.0,447.6911,880.0000697307637,447.7Hz_+30.0c,4,446.9242262497701,880.8139554319964,447.6910992034271,880.0000677028147,446.9242262497701,880.8139554319964,0.0,0.0,0,1174.5684916481991,1169.999999090763,4.568491648199142,-9.092370873986511e-07,1.6004265279952223,-3.989606828044008e-06
encodec_swap_encodec_24khz|encodec_ftm_grid_s0,3.0kbps,24000,20260826,1170.0,450.2845,885.0977636112982,450.3Hz_+40.0c,0,449.2830543250059,885.1909427668438,450.2845021147924,885.0977615502057,150.17045802721432,885.1909427668438,1897.2283427763036,0.0,0,1174.036849293966,1169.9999878376823,4.036849293966043,-1.2162317716502002e-05,0.1822470270659946,-4.031456904535036e-06
encodec_swap_encodec_24khz|encodec_ftm_grid_s0,3.0kbps,24000,20260826,1170.0,450.2845,885.0977636112982,450.3Hz_+40.0c,1,448.77320871377265,885.2298083640584,450.28450211434875,885.097761548156,448.77320871377265,885.2298083640584,0.0,0.0,0,1176.0785768548312,1169.9999878353788,6.078576854831226,-1.2164621239207918e-05,0.2582577100662914,-4.035466120950961e-06
encodec_swap_encodec_24khz|encodec_ftm_grid_s0,3.0kbps,24000,20260826,1170.0,450.2845,885.0977636112982,450.3Hz_+40.0c,2,448.4507056597571,885.2820635021959,450.2845020955616,885.0977615489384,448.4507056597571,885.2820635021959,0.0,0.0,0,1177.4253370873305,1169.999987909141,7.42533708733049,-1.2090858945157379e-05,0.36044948392152537,-4.033935780037992e-06
encodec_swap_encodec_24khz|encodec_ftm_grid_s0,3.0kbps,24000,20260826,1170.0,450.2845,885.0977636112982,450.3Hz_+40.0c,3,449.26873423356926,885.3850926422998,450.2845021144981,885.0977615502617,449.26873423356926,885.3850926422998,0.0,0.0,0,1174.4717019319244,1169.9999878389233,4.471701931924372,-1.2161076710981433e-05,0.5619188057825656,-4.031347539553941e-06
encodec_swap_encodec_24khz|encodec_ftm_grid_s0,3.0kbps,24000,20260826,1170.0,450.2845,885.0977636112982,450.3Hz_+40.0c,4,449.72720280768976,885.4385320156365,450.2845021009025,885.0977615486837,449.72720280768976,885.4385320156365,0.0,0.0,0,1172.810406892041,1169.9999878881085,2.810406892041101,-1.2111891464883229e-05,0.6664081082981981,-4.034433976929026e-06
encodec_swap_encodec_24khz|encodec_ftm_grid_s0,3.0kbps,24000,20260826,1170.0,452.893,890.2251386739088,452.9Hz_+50.0c,0,452.0515415967697,889.7817898641588,452.89300104987745,890.2251365819375,451.9495216484943,889.4919975730277,0.3907526574230791,0.5639360165275253,0,1172.357158738617,1169.9999919184386,2.357158738617045,-8.081561418293859e-06,-0.8624017790252944,-4.068287724232036e-06
encodec_swap_encodec_24khz|encodec_ftm_grid_s0,3.0kbps,24000,20260826,1170.0,452.893,890.2251386739088,452.9Hz_+50.0c,1,452.56530043769186,889.5113207270491,452.89300104616837,890.225136581907,452.56530043769186,889.5113207270491,0.0,0.0,0,1169.864392366377,1169.9999919325576,-0.13560763362306716,-8.067442422543536e-06,-1.3887292067045007,-4.068346923553965e-06
encodec_swap_encodec_24khz|encodec_ftm_grid_s0,3.0kbps,24000,20260826,1170.0,452.893,890.2251386739088,452.9Hz_+50.0c,2,450.90714335040434,889.4436732320836,452.8930010513258,890.2251365819851,450.90714335040434,889.4436732320836,0.0,0.0,0,1176.0874556161234,1169.9999919129946,6.087455616123407,-8.087005426204996e-06,-1.5203948723031981,-4.0681950811373275e-06
encodec_swap_encodec_24khz|encodec_ftm_grid_s0,3.0kbps,24000,20260826,1170.0,452.893,890.2251386739088,452.9Hz_+50.0c,3,452.0164915706224,889.7621228139151,452.893001041685,890.2251365818845,452.0164915706224,889.7621228139151,0.0,0.0,0,1172.4531296937632,1169.999991949652,2.4531296937632305,-8.050348014876363e-06,-0.9006680637573355,-4.06839074642864e-06
encodec_swap_encodec_24khz|encodec_ftm_grid_s0,3.0kbps,24000,20260826,1170.0,452.893,890.2251386739088,452.9Hz_+50.0c,4,451.5428642341788,889.5916368659135,452.8930010460967,890.2251365814883,451.5428642341788,889.2523789494672,0.0,0.6603556672383699,0,1173.9363339591787,1169.9999919320176,3.9363339591786826,-8.067982435022714e-06,-1.2324189338305445,-4.069161106436088e-06
encodec_swap_encodec_24khz|encodec_ftm_grid_s0,3.0kbps,24000,20260826,1170.0,455.5166,895.3821949185954,455.5Hz_+60.0c,0,455.5416239946936,890.6093407773166,455.51659861067185,895.3821933726672,455.5416239946936,889.9278409683465,0.0,1.3252581787471214,0,1160.651832233809,1170.0000022911995,-9.348167766190954,2.2911995074537117e-06,-9.253064312806345,-2.989073898895241e-06
encodec_swap_encodec_24khz|encodec_ftm_grid_s0,3.0kbps,24000,20260826,1170.0,455.5166,895.3821949185954,455.5Hz_+60.0c,1,455.8136765265419,893.7394545592285,455.516598608913,895.3821933730067,455.7417969516003,893.8025625207405,0.2730286229415024,-0.12224009364613331,0,1165.6921216569012,1170.0000022985405,-4.307878343098764,2.298540493939072e-06,-3.179178837787489,-2.988417516803476e-06
