file,offset,f_in,f_out,cents_in,within_semitone,shift_cents,toward_grid,disagreement
guitar_acoustic_010-080-025.wav,0,834.5951256805042,834.6119227476929,1108.2875652552939,8.287565255293885,0.03484247765396918,-0.03484247765396918,4151.3426205386295
guitar_acoustic_010-080-025.wav,10,839.429880775861,839.4495853208522,1118.2875543592027,18.28755435920266,0.04063803256939429,-0.04063803256939429,4151.397401425002
guitar_acoustic_010-080-025.wav,20,844.2926614264035,844.3053034059795,1128.2875806480508,28.287580648050834,0.025922363932486262,-0.025922363932486262,4151.374383720648
guitar_acoustic_010-080-025.wav,30,849.1835898661051,849.1877886679647,1138.287561908359,38.287561908359066,0.008560093318320104,-0.008560093318320104,4151.420981788615
guitar_acoustic_010-080-025.wav,40,854.1028638405623,854.0911164150845,1148.2875689674056,48.287568967405605,-0.02381174879617176,0.02381174879617176,4151.436612987145
guitar_acoustic_010-080-025.wav,50,859.0506247383062,859.0322737038628,1158.2875555488765,58.287555548876526,-0.036983006692009095,-0.036983006692009095,3803.9395365804307
guitar_acoustic_010-080-025.wav,60,864.0270490457032,864.0196793143845,1168.2875448572086,68.28754485720856,-0.014766649051995364,-0.014766649051995364,4260.923320030281
guitar_acoustic_010-080-025.wav,70,869.0323211554345,869.0311862398416,1178.2875734117035,78.28757341170353,-0.0022609122264867316,-0.0022609122264867316,4301.920017007238
guitar_acoustic_010-080-025.wav,80,874.0665846341421,874.0714586972184,1188.2875941219334,88.28759412193335,0.009653864564316552,0.009653864564316552,4301.933618529841
guitar_acoustic_010-080-025.wav,90,879.1299556245548,879.1361667354747,1198.2875050646805,98.28750506468054,0.012231239140016826,0.012231239140016826,4301.942202251997
guitar_acoustic_010-086-075.wav,0,1182.2124189773058,1182.2064436436676,1711.096622675462,11.096622675461958,-0.00875031172566763,0.00875031172566763,3599.99781017434
guitar_acoustic_010-086-075.wav,10,1189.06095010521,1189.0588400513836,1721.0966871094256,21.096687109425602,-0.0030721724317770826,0.0030721724317770826,3599.9998805810346
guitar_acoustic_010-086-075.wav,20,1195.9491037728355,1195.9465532912234,1731.0966779282548,31.09667792825485,-0.003692034471036501,0.003692034471036501,3600.0001134711033
guitar_acoustic_010-086-075.wav,30,1202.87717545472,1202.8747837889825,1741.0966908865998,41.096690886599845,-0.0034421945643423415,0.0034421945643423415,3599.9996639786114
