lang,group,file,char_level,wer_original,wer_coded,delta,relative
yue_hant_hk,tone,10124045044575977258.wav,1,0.5230769230769231,0.5076923076923077,-0.015384615384615441,-0.02941176470588246
yue_hant_hk,tone,10163731863724677756.wav,1,0.5531914893617021,0.574468085106383,0.021276595744680882,0.03846153846153851
yue_hant_hk,tone,10165854033091765666.wav,1,0.4888888888888889,0.6888888888888889,0.2,0.4090909090909091
yue_hant_hk,tone,10194685291289583261.wav,1,0.496,0.552,0.05600000000000005,0.11290322580645172
yue_hant_hk,tone,10204212130682298746.wav,1,0.6101694915254238,0.5423728813559322,-0.06779661016949157,-0.11111111111111117
yue_hant_hk,tone,1023881369744285907.wav,1,0.5846153846153846,0.5846153846153846,0.0,0.0
yue_hant_hk,tone,10245144904171409267.wav,1,0.4576271186440678,0.6271186440677966,0.1694915254237288,0.37037037037037035
yue_hant_hk,tone,10267831357374546510.wav,1,0.5061728395061729,0.8148148148148148,0.3086419753086419,0.6097560975609755
yue_hant_hk,tone,10272142374484731068.wav,1,0.5362318840579711,0.7101449275362319,0.17391304347826086,0.3243243243243243
yue_hant_hk,tone,10290330502468725083.wav,1,0.576271186440678,0.576271186440678,0.0,0.0
yue_hant_hk,tone,10295916416848496368.wav,1,0.6296296296296297,0.6481481481481481,0.01851851851851849,0.029411764705882307
yue_hant_hk,tone,10311047307549015770.wav,1,0.5360824742268041,0.4948453608247423,-0.04123711340206182,-0.07692307692307686
yue_hant_hk,tone,10355037012986784156.wav,1,0.9206349206349206,0.9206349206349206,0.0,0.0
yue_hant_hk,tone,10369938180946786889.wav,1,0.5161290322580645,0.5161290322580645,0.0,0.0
yue_hant_hk,tone,10372767518753465093.wav,1,0.5510204081632653,0.5714285714285714,0.020408163265306145,0.037037037037037084
yue_hant_hk,tone,10420293471186542716.wav,1,0.46938775510204084,0.46938775510204084,0.0,0.0
yue_hant_hk,tone,10431920045158933966.wav,1,0.4810126582278481,0.4810126582278481,0.0,0.0
yue_hant_hk,tone,10435128854326771128.wav,1,0.45454545454545453,0.4393939393939394,-0.015151515151515138,-0.033333333333333305
yue_hant_hk,tone,10454356997801808162.wav,1,0.5068493150684932,0.5342465753424658,0.0273972602739726,0.05405405405405405
yue_hant_hk,tone,10458224867818168950.wav,1,0.5538461538461539,0.6,0.0461538461538461,0.08333333333333323
yue_hant_hk,tone,10468050702869876303.wav,1,0.56,0.6,0.039999999999999925,0.07142857142857129
cmn_hans_cn,tone,10026684690566417990.wav,1,0.4444444444444444,0.4888888888888889,0.04444444444444445,0.10000000000000002
cmn_hans_cn,tone,10040380210557600780.wav,1,0.4634146341463415,0.5609756097560976,0.09756097560975613,0.21052631578947373
cmn_hans_cn,tone,10048525650290665384.wav,1,0.4090909090909091,0.4393939393939394,0.030303030303030276,0.074074074074074
cmn_hans_cn,tone,10053956375630517392.wav,1,0.5031847133757962,0.5031847133757962,0.0,0.0
cmn_hans_cn,tone,10056338555786085046.wav,1,0.47540983606557374,0.47540983606557374,0.0,0.0
cmn_hans_cn,tone,10073099671796350432.wav,1,0.47368421052631576,0.5263157894736842,0.05263157894736842,0.1111111111111111
cmn_hans_cn,tone,10081186303620187437.wav,1,0.43103448275862066,0.46551724137931033,0.03448275862068967,0.08000000000000003
cmn_hans_cn,tone,10104380129516909856.wav,1,0.5555555555555556,0.5666666666666667,0.011111111111111072,0.019999999999999928
cmn_hans_cn,tone,10112798408996336578.wav,1,0.5423728813559322,0.5932203389830508,0.05084745762711862,0.09374999999999996
cmn_hans_cn,tone,10134195680525011353.wav,1,0.49122807017543857,0.5614035087719298,0.07017543859649122,0.14285714285714285
cmn_hans_cn,tone,10142207404499844309.wav,1,0.49333333333333335,0.49333333333333335,0.0,0.0
cmn_hans_cn,tone,10144930991730701959.wav,1,0.48484848484848486,0.48484848484848486,0.0,0.0
cmn_hans_cn,tone,10147383166642115307.wav,1,0.5818181818181818,0.5818181818181818,0.0,0.0
cmn_hans_cn,tone,10154699825088384418.wav,1,0.5142857142857142,0.5428571428571428,0.02857142857142858,0.05555555555555558
cmn_hans_cn,tone,1015891181557233386.wav,1,0.4897959183673469,0.5306122448979592,0.04081632653061229,0.08333333333333343
cmn_hans_cn,tone,1017060882143751441.wav,1,0.47368421052631576,0.5368421052631579,0.06315789473684214,0.13333333333333341
cmn_hans_cn,tone,10182944938509562796.wav,1,0.5076923076923077,0.6307692307692307,0.12307692307692308,0.24242424242424246
cmn_hans_cn,tone,10234433636571543908.wav,1,0.4810126582278481,0.5443037974683544,0.06329113924050633,0.13157894736842105
cmn_hans_cn,tone,10279011772105822622.wav,1,0.5409836065573771,0.5573770491803278,0.016393442622950727,0.03030303030303013
cmn_hans_cn,tone,10325486695909573217.wav,1,0.48717948717948717,0.48717948717948717,0.0,0.0
cmn_hans_cn,tone,10325559490685159122.wav,1,0.40816326530612246,0.4897959183673469,0.08163265306122447,0.19999999999999996
